stop_id,stop_name,ars_id,latitude,longitude,source,coordinate_source,coordinate_status
100000159,원남동사거리,01256,37.575761,126.998113,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000165,숭인2동주민센터,01262,37.5742721533,127.0204373408,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000169,조계사,01267,37.572800338,126.9831609226,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000174,세종문화회관,01272,37.5733655664,126.9770167126,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000179,이화동(이화장),01277,37.576257,127.002955,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000180,상명대정문,01278,37.601417,126.955143,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000181,이북오도청,01279,37.612723,126.955973,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000188,상명대입구.세검정교회,01286,37.5994435122,126.9597921957,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000189,상명대입구.석파랑,01287,37.5995718125,126.9581941404,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000190,종로중부새마을금고,01288,37.5724174899,127.0065911394,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000191,신설동역오거리.서울풍물시장,01289,37.5742548131,127.0231950517,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000192,청계2가.삼일교,01291,37.568344,126.986988,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000193,청계8가.황학교,01292,37.5721307298,127.0227870051,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000329,광화문,01762,37.5703374879,126.9755694982,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000330,종로1가,01763,37.57037,126.980129,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000333,종로2가,01766,37.5700824558,126.9864618183,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000334,종로3가역11번출구,01767,37.5706348964,126.9932082199,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000335,종로3가,01768,37.5701024255,126.9909932186,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000336,종로4가,01769,37.5704692645,126.9962507486,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000338,동대문종합시장.종로6가,01771,37.5708647997,127.0032911936,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000343,경복궁역,01777,37.5761780936,126.9715056448,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000344,경복궁역7번출구,01778,37.5758191735,126.971681974,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000345,안국역,01779,37.5766137515,126.985229602,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000346,안국역,01780,37.5763185096,126.9855059829,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000347,창덕궁,01781,37.577519,126.988901,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000348,성대입구,01782,37.583283,126.999229,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100000355,평창동삼성아파트,01293,37.611179,126.978799,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
