route_id,route_no,route_name,stop_sequence,stop_id,stop_name,ars_id,longitude,latitude,source,coordinate_source,coordinate_status
100100153,1138,1138,1,110000389,흥안운수상계4동종점,11491,127.0822757357,37.6708342206,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100154,1139,1139,1,110000389,흥안운수상계4동종점,11491,127.0822757357,37.6708342206,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100181,1224,1224,1,110000389,흥안운수상계4동종점,11491,127.0822757357,37.6708342206,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
124000006,6200,6200,1,227500083,황산,65111,127.1849817067,37.5501375465,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
103000001,8441,8441,1,122000305,은곡마을.LH이편한세상,23412,127.102535,37.465344,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100900004,종로07,종로07,1,100900220,성균관대운동장,01617,126.99237,37.587863,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
119900022,동작05,동작05,1,119000022,대방역,20108,126.926363433,37.5125881335,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100075,472,472,1,122000241,래미안블레스티지아파트,23345,127.063217,37.480651,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100246,4432,4432,1,122000241,래미안블레스티지아파트,23345,127.063217,37.480651,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100387,8774,8774,1,111000945,선진운수종점,12478,126.909608,37.614378,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100347,7613,7613,1,111000945,선진운수종점,12478,126.909608,37.614378,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
121900009,서초01,서초01,1,121000102,롯데캐슬아파트,22178,127.015393,37.520077,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
119900002,서초06,서초06,1,119000288,정금마을.방배경찰서,20016,126.9826144422,37.4942338943,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
119900003,서초05,서초05,1,119000288,정금마을.방배경찰서,20016,126.9826144422,37.4942338943,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
119900005,서초16,서초16,1,119000288,정금마을.방배경찰서,20016,126.9826144422,37.4942338943,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100228,3416,3416,1,123000337,남한산성입구,24429,127.157278,37.49096,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100222,3316,3316,1,123000337,남한산성입구,24429,127.157278,37.49096,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
119900023,동작05-1,동작05-1,1,119000114,신대방역,20207,126.911921,37.487296,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
103000003,한강마곡,한강마곡,1,115000284,발산역7번출구,16393,126.837903,37.557738,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
100100097,650,650,1,115000296,외발산동기점,16408,126.8213321956,37.5452091516,서울시버스노선별정류소정보_20260804.xlsx,seoul_official_route_stop_file,provided_by_source
