coordinate_station_id,coordinate_station_name,normalized_station_name,line,latitude,longitude,api_station_id,external_code,source
2626,광흥창,광흥창,6,37.547464,126.931971,2625,624,seoul_openapi
2629,효창공원앞,효창공원앞,6,37.539279,126.961348,2628,627,seoul_openapi
2630,삼각지,삼각지,6,37.535563,126.973996,2629,628,seoul_openapi
2631,녹사평,녹사평,6,37.53469,126.98665,2630,629,seoul_openapi
2632,이태원,이태원,6,37.534485,126.994369,2631,630,seoul_openapi
2633,한강진,한강진,6,37.53956,127.001729,2632,631,seoul_openapi
2634,버티고개,버티고개,6,37.547933,127.006948,2633,632,seoul_openapi
2646,석계,석계,6,37.614937,127.065922,2645,644,seoul_openapi
2647,태릉입구,태릉입구,6,37.617319,127.074741,2646,645,seoul_openapi
2649,신내,신내,6,37.612571,127.104326,2649,648,seoul_openapi
2642,고려대,고려대,6,37.59034,127.03626,2641,640,seoul_openapi
2643,월곡,월곡,6,37.60192,127.041492,2642,641,seoul_openapi
2648,화랑대,화랑대,6,37.619875,127.084106,2647,646,seoul_openapi
2615,봉화산,봉화산,6,37.617293,127.091375,2648,647,seoul_openapi
2616,연신내,연신내,6,37.618596,126.920519,2615,614,seoul_openapi
2617,구산,구산,6,37.611223,126.917246,2616,615,seoul_openapi
2635,약수,약수,6,37.554087,127.010237,2634,633,seoul_openapi
2636,청구,청구,6,37.560221,127.013776,2635,634,seoul_openapi
2637,신당,신당,6,37.566174,127.016158,2636,635,seoul_openapi
2638,동묘앞,동묘앞,6,37.572275,127.015666,2637,636,seoul_openapi
2639,창신,창신,6,37.579772,127.015246,2638,637,seoul_openapi
2640,보문,보문,6,37.585293,127.019377,2639,638,seoul_openapi
2641,안암,안암,6,37.586261,127.02903,2640,639,seoul_openapi
2644,상월곡,상월곡,6,37.606392,127.048509,2643,642,seoul_openapi
2645,돌곶이,돌곶이,6,37.610522,127.056419,2644,643,seoul_openapi
2622,마포구청,마포구청,6,37.563535,126.903326,2621,620,seoul_openapi
2627,대흥,대흥,6,37.547732,126.942214,2626,625,seoul_openapi
2628,공덕,공덕,6,37.543592,126.951664,2627,626,seoul_openapi
2612,역촌,역촌,6,37.60605,126.922764,2612,611,seoul_openapi
2712,도봉산,도봉산,7,37.689131,127.046548,2712,710,seoul_openapi
2723,면목,면목,7,37.588671,127.087503,2723,721,seoul_openapi
2724,사가정,사가정,7,37.580912,127.088502,2724,722,seoul_openapi
2725,용마산,용마산,7,37.573752,127.086802,2725,723,seoul_openapi
2726,중곡,중곡,7,37.565877,127.084291,2726,724,seoul_openapi
2728,어린이대공원,어린이대공원,7,37.547962,127.07465,2728,726,seoul_openapi
2742,장승배기,장승배기,7,37.504845,126.939025,2742,740,seoul_openapi
2735,반포,반포,7,37.508171,127.011717,2735,733,seoul_openapi
2747,남구로,남구로,7,37.486181,126.887372,2747,745,seoul_openapi
2711,장암,장암,7,37.70015,127.053126,2711,709,seoul_openapi
2741,상도,상도,7,37.50279,126.947949,2741,739,seoul_openapi
2740,숭실대입구,숭실대입구,7,37.496258,126.953649,2740,738,seoul_openapi
2722,상봉,상봉,7,37.595673,127.085708,2722,720,seoul_openapi
2721,중화,중화,7,37.602604,127.079254,2721,719,seoul_openapi
2720,먹골,먹골,7,37.610638,127.077719,2720,718,seoul_openapi
2719,태릉입구,태릉입구,7,37.617319,127.074741,2719,717,seoul_openapi
2718,공릉,공릉,7,37.625642,127.072969,2718,716,seoul_openapi
2717,하계,하계,7,37.636363,127.067999,2717,715,seoul_openapi
2714,마들,마들,7,37.664985,127.057701,2714,712,seoul_openapi
2752,온수,온수,7,37.492059,126.823294,2752,750,seoul_openapi
2727,군자,군자,7,37.557151,127.079484,2727,725,seoul_openapi
2749,철산,철산,7,37.47616,126.868217,2749,747,seoul_openapi
2748,가산디지털단지,가산디지털단지,7,37.480376,126.882704,2748,746,seoul_openapi
2713,수락산,수락산,7,37.677804,127.055314,2713,711,seoul_openapi
2736,고속터미널,고속터미널,7,37.503387,127.005055,2736,734,seoul_openapi
2737,내방,내방,7,37.48764,126.993541,2737,735,seoul_openapi
2743,신대방삼거리,신대방삼거리,7,37.499717,126.928218,2743,741,seoul_openapi
2751,천왕,천왕,7,37.486699,126.838684,2751,749,seoul_openapi
2750,광명사거리,광명사거리,7,37.47927,126.854854,2750,748,seoul_openapi
2739,남성,남성,7,37.484688,126.971108,2739,737,seoul_openapi
2744,보라매,보라매,7,37.499916,126.920112,2744,742,seoul_openapi
2716,중계,중계,7,37.645052,127.064084,2716,714,seoul_openapi
2715,노원,노원,7,37.654478,127.060555,2715,713,seoul_openapi
2734,논현,논현,7,37.511108,127.021385,2734,732,seoul_openapi
2733,학동,학동,7,37.514262,127.031738,2733,731,seoul_openapi
2732,강남구청,강남구청,7,37.517185,127.04122,2732,730,seoul_openapi
2731,청담,청담,7,37.519097,127.051851,2731,729,seoul_openapi
2729,건대입구,건대입구,7,37.540882,127.071103,2729,727,seoul_openapi
2745,신풍,신풍,7,37.500107,126.909806,2745,743,seoul_openapi
2746,대림,대림,7,37.492984,126.896997,2746,744,seoul_openapi
2821,복정,복정,8,37.471016,127.126746,2821,820,seoul_openapi
