opr_ymd,stop_id,stop_name,sttn_ars_no,city_code,sgg_cd,emd_cd,ctpv_nm,sgg_nm,emd_nm,latitude,longitude,source,coordinate_status,match_type,region_code_used
20250801,00000748,서구문화센터,~,29,29140,2914013000,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000749,금호도개공아파트,~,29,29140,2914013000,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000750,서구청,~,29,29140,2914010600,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000751,서구청,~,29,29140,2914010600,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000763,서광주전화국,~,29,29140,2914010600,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000764,서광주전화국,~,29,29140,2914010600,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000768,서석고,~,29,29140,2914011900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000769,서석고,~,29,29140,2914011900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000771,서창농협,~,29,29140,2914013000,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000772,서창농협,~,29,29140,2914013000,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000775,서창입구,~,29,29140,2914012900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000776,서창입구,~,29,29140,2914012900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000806,광천E편한세상,~,29,29140,2914012100,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000807,광천E편한세상,~,29,29140,2914012100,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000840,상무시민공원,~,29,29140,2914012000,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000841,상무시민공원,~,29,29140,2914012000,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000845,금호시영아파트,~,29,29140,2914013000,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000850,시청,~,29,29140,2914012000,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000852,시청,~,29,29140,2914012000,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000864,신세계백화점,~,29,29140,2914010600,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000866,신세계백화점,~,29,29140,2914011900,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000879,신암마을,~,29,29140,2914012800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000880,신암마을,~,29,29140,2914012800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000905,가톨릭대평생교육원,~,29,29140,2914011800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000906,가톨릭대평생교육원,~,29,29140,2914011800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000920,쌍촌역,~,29,29140,2914011800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000922,쌍촌역,~,29,29140,2914011800,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000928,기아차중문,~,29,29140,2914012100,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000934,양동시장역(남),~,29,29140,2914010400,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
20250801,00000935,양동시장역(북),~,29,29140,2914010400,,,,,,tago_bus_stop,not_provided_by_api,unmatched,24
