station_id,station_name,normalized_station_name,line,latitude,longitude,source
215,잠실나루,잠실나루,2,37.520688,127.103836,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
216,잠실,잠실,2,37.513305,127.100129,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
217,잠실새내,잠실새내,2,37.520731,127.103738,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
218,종합운동장,종합운동장,2,37.511008,127.073641,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
219,삼성,삼성,2,37.508827,127.063203,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
220,선릉,선릉,2,37.504257,127.048174,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
221,역삼,역삼,2,37.500658,127.03643,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
222,강남,강남,2,37.497958,127.027539,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
223,교대,교대,2,37.493957,127.014631,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
224,서초,서초,2,37.49191,127.007945,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
225,방배,방배,2,37.481469,126.997627,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
226,사당,사당,2,37.476536,126.981631,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
227,낙성대,낙성대,2,37.47693,126.963783,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
228,서울대입구,서울대입구,2,37.481233,126.952745,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
229,봉천,봉천,2,37.482416,126.941896,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
230,신림,신림,2,37.484216,126.929573,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
231,신대방,신대방,2,37.487534,126.913279,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
