adm_cd,adm_nm,x,y,source_crs,reference_year
1107072,서울특별시 중랑구 면목3·8동,964540.0,1953979.0,EPSG:5179,2021
1107073,서울특별시 중랑구 망우본동,965338.0,1955917.0,EPSG:5179,2021
1108058,서울특별시 성북구 돈암1동,957989.0,1955685.0,EPSG:5179,2021
1108059,서울특별시 성북구 돈암2동,956868.0,1955420.0,EPSG:5179,2021
1108060,서울특별시 성북구 안암동,958258.0,1954363.0,EPSG:5179,2021
1108061,서울특별시 성북구 보문동,957543.0,1953825.0,EPSG:5179,2021
1108062,서울특별시 성북구 정릉1동,957340.0,1956113.0,EPSG:5179,2021
1108063,서울특별시 성북구 정릉2동,956602.0,1956155.0,EPSG:5179,2021
1108064,서울특별시 성북구 정릉3동,955400.0,1957084.0,EPSG:5179,2021
1108065,서울특별시 성북구 정릉4동,955410.0,1958418.0,EPSG:5179,2021
1108066,서울특별시 성북구 길음1동,957605.0,1956647.0,EPSG:5179,2021
1108068,서울특별시 성북구 길음2동,958270.0,1956628.0,EPSG:5179,2021
1108071,서울특별시 성북구 월곡1동,959094.0,1956600.0,EPSG:5179,2021
1108072,서울특별시 성북구 월곡2동,959868.0,1956085.0,EPSG:5179,2021
1108076,서울특별시 성북구 장위1동,959810.0,1957388.0,EPSG:5179,2021
1108077,서울특별시 성북구 장위2동,960468.0,1957075.0,EPSG:5179,2021
1108078,서울특별시 성북구 장위3동,960561.0,1957758.0,EPSG:5179,2021
1108081,서울특별시 성북구 성북동,955339.0,1955374.0,EPSG:5179,2021
1108082,서울특별시 성북구 삼선동,956894.0,1954249.0,EPSG:5179,2021
1108083,서울특별시 성북구 동선동,957484.0,1955039.0,EPSG:5179,2021
1108084,서울특별시 성북구 종암동,958859.0,1955435.0,EPSG:5179,2021
1108085,서울특별시 성북구 석관동,961276.0,1956629.0,EPSG:5179,2021
1109060,서울특별시 강북구 번1동,958536.0,1959995.0,EPSG:5179,2021
1109061,서울특별시 강북구 번2동,958947.0,1959004.0,EPSG:5179,2021
1109062,서울특별시 강북구 번3동,959599.0,1958345.0,EPSG:5179,2021
1109063,서울특별시 강북구 수유1동,956748.0,1959039.0,EPSG:5179,2021
1109064,서울특별시 강북구 수유2동,957601.0,1960768.0,EPSG:5179,2021
1109065,서울특별시 강북구 수유3동,957804.0,1960222.0,EPSG:5179,2021
1109069,서울특별시 강북구 삼양동,957202.0,1958384.0,EPSG:5179,2021
1109070,서울특별시 강북구 미아동,958206.0,1958905.0,EPSG:5179,2021
1109071,서울특별시 강북구 송중동,958885.0,1957686.0,EPSG:5179,2021
1109072,서울특별시 강북구 송천동,958085.0,1957732.0,EPSG:5179,2021
1109073,서울특별시 강북구 삼각산동,957327.0,1957734.0,EPSG:5179,2021
1109074,서울특별시 강북구 우이동,955940.0,1962428.0,EPSG:5179,2021
1109075,서울특별시 강북구 인수동,956203.0,1959897.0,EPSG:5179,2021
1110051,서울특별시 도봉구 쌍문1동,957608.0,1961612.0,EPSG:5179,2021
1110052,서울특별시 도봉구 쌍문2동,959080.0,1962145.0,EPSG:5179,2021
1110053,서울특별시 도봉구 쌍문3동,958493.0,1961016.0,EPSG:5179,2021
1110054,서울특별시 도봉구 쌍문4동,958550.0,1961857.0,EPSG:5179,2021
1110055,서울특별시 도봉구 방학1동,959744.0,1963034.0,EPSG:5179,2021
1110056,서울특별시 도봉구 방학2동,958804.0,1963411.0,EPSG:5179,2021
1110057,서울특별시 도봉구 방학3동,957978.0,1962737.0,EPSG:5179,2021
1110059,서울특별시 도봉구 창1동,959839.0,1961152.0,EPSG:5179,2021
1110060,서울특별시 도봉구 창2동,959139.0,1960455.0,EPSG:5179,2021
1110061,서울특별시 도봉구 창3동,959567.0,1959860.0,EPSG:5179,2021
1110062,서울특별시 도봉구 창4동,960391.0,1961554.0,EPSG:5179,2021
1110063,서울특별시 도봉구 창5동,959667.0,1961874.0,EPSG:5179,2021
